,id,precio,geom,numfotos,planta,precioinfo,tipo_propiedad,tamaño_m2,es_exterior,n_habitaciones,n_baños,direccion,provincia,municipio,distrito,pais,barrio,estado,tiene_ascensor,parking,precio_m2,tipo_detalle,texto_sugerido,codigo_distrito
0,108613702,600000.0,0101000020E610000097BA75487BAD0DC046E5CBB0F6354440,5,5.0,"{'price': {'amount': 600000.0, 'currencySuffix': '€'}}",flat,58.0,True,2,1,Barrio Palacio,Madrid,Madrid,Centro,es,Palacio,good,False,,10345.0,{'typology': 'flat'},,
1,108458545,890000.0,0101000020E610000006A799492FA50DC0C564BB8CAC354440,38,3.0,"{'price': {'amount': 890000.0, 'currencySuffix': '€'}}",flat,104.0,False,3,2,"CL PRECIADOS, 23",Madrid,Madrid,Centro,es,Sol,good,True,,8558.0,{'typology': 'flat'},,
2,109676392,960000.0,0101000020E610000002D9EBDD1F9F0DC03AED84F299354440,13,2.0,"{'price': {'amount': 960000.0, 'currencySuffix': '€'}}",flat,119.0,True,3,2,Paz,Madrid,Madrid,Centro,es,Sol,good,False,,8067.0,{'typology': 'flat'},,
3,110289316,1299000.0,0101000020E61000007BB5EDC561BA0DC0773D87E8C6344440,32,4.0,"{'price': {'amount': 1299000.0, 'currencySuffix': '€'}}",penthouse,148.0,True,3,2,calle de Manzanares,Madrid,Madrid,Arganzuela,es,Imperial,good,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",8777.0,"{'typology': 'flat', 'subTypology': 'penthouse'}",,
4,110239661,1395000.0,0101000020E610000071C4FFC2976E0DC0436271EE65324440,48,7.0,"{'price': {'amount': 1395000.0, 'currencySuffix': '€'}}",penthouse,217.0,True,3,2,"calle Ariel, 4",Madrid,Madrid,Arganzuela,es,Legazpi,good,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",6429.0,"{'typology': 'flat', 'subTypology': 'penthouse'}",,
5,110138264,1395000.0,0101000020E6100000381DB74E12710DC0807566CC6E324440,50,7.0,"{'price': {'amount': 1395000.0, 'currencySuffix': '€'}}",penthouse,194.0,True,3,2,calle Ariel,Madrid,Madrid,Arganzuela,es,Legazpi,good,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",7191.0,"{'typology': 'flat', 'subTypology': 'penthouse'}",,
6,110228707,990000.0,0101000020E610000001892650C4A20DC078DCA62ECF334440,46,7.0,"{'price': {'amount': 990000.0, 'currencySuffix': '€'}}",penthouse,144.0,True,3,3,paseo de las Acacias,Madrid,Madrid,Arganzuela,es,Acacias,renew,True,,6875.0,"{'typology': 'flat', 'subTypology': 'penthouse'}",,
7,109432284,499000.0,0101000020E6100000E316F37343C30DC09E730179C0344440,36,,"{'price': {'amount': 499000.0, 'currencySuffix': '€'}}",flat,93.0,True,2,2,"calle de Moreno Nieto, 16",Madrid,Madrid,Arganzuela,es,Imperial,good,True,,5366.0,{'typology': 'flat'},,
8,110169833,680000.0,0101000020E61000009F7D9BB45F8D0DC0EA89F89859324440,18,3.0,"{'price': {'amount': 680000.0, 'currencySuffix': '€'}}",flat,131.0,True,4,1,plaza de la Beata María Ana de Jesús,Madrid,Madrid,Arganzuela,es,Chopera,good,True,,5191.0,{'typology': 'flat'},,
9,110187092,1395000.0,0101000020E61000006371491F046E0DC0345310F230324440,74,7.0,"{'price': {'amount': 1395000.0, 'currencySuffix': '€'}}",penthouse,217.0,True,3,2,calle Ariel,Madrid,Madrid,Arganzuela,es,Legazpi,good,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",6429.0,"{'typology': 'flat', 'subTypology': 'penthouse'}",,
